id,name,slug,department_code,insee_code,postal_code,lat,lng,pop
1,Ozan,ozan,01,01284,01190,46.3833,4.91667,500
2,Cormoranche-sur-Saône,cormoranche-sur-saone,01,01123,01290,46.2333,4.83333,1000
3,Plagne,plagne-01,01,01298,01130,46.1833,5.73333,100
4,Tossiat,tossiat,01,01422,01250,46.1333,5.31667,1400
5,Pouillat,pouillat,01,01309,01250,46.3333,5.43333,100
6,Torcieu,torcieu,01,01421,01230,45.9167,5.4,700
7,Replonges,replonges,01,01320,01620,46.3,4.88333,3300
8,Corcelles,corcelles,01,01119,01110,46.0333,5.58333,200
9,Péron,peron,01,01288,01630,46.2,5.93333,1900
10,Relevant,relevant,01,01319,01990,46.0833,4.95,400
11,Chaveyriat,chaveyriat,01,01096,01660,46.1833,5.06667,900
12,Vaux-en-Bugey,vaux-en-bugey,01,01431,01150,45.9167,5.35,1100
13,Maillat,maillat,01,01228,01430,46.1333,5.55,700
14,Faramans,faramans-01,01,01156,01800,45.9,5.11667,600
15,Béon,beon-01,01,01039,01350,45.8333,5.75,400
16,Saint-Bernard,saint-bernard-01,01,01339,01600,45.945,4.73723,1400
17,Rossillon,rossillon,01,01329,01510,45.8333,5.6,100
18,Pont-d'Ain,pont-d-ain,01,01304,01160,46.05,5.33333,2500
19,Nantua,nantua,01,01269,01460,46.15,5.61667,3600
20,Chavannes-sur-Reyssouze,chavannes-sur-reyssouze,01,01094,01190,46.4333,5.0,700
21,Neuville-les-Dames,neuville-les-dames,01,01272,01400,46.1667,5.0,1500
22,Flaxieu,flaxieu,01,01162,01350,45.8167,5.73333,100
23,Hotonnes,hotonnes,01,01187,01260,46.0,5.68333,300
24,Saint-Sorlin-en-Bugey,saint-sorlin-en-bugey,01,01386,01150,45.8833,5.36667,1100
25,Songieu,songieu,01,01409,01260,45.9667,5.7,100
26,Virieu-le-Petit,virieu-le-petit,01,01453,01260,45.9,5.71667,300
27,Saint-Denis-en-Bugey,saint-denis-en-bugey,01,01345,01500,45.95,5.33333,2100
28,Charnoz-sur-Ain,charnoz-sur-ain,01,01088,01800,45.8667,5.21667,900
29,Chazey-sur-Ain,chazey-sur-ain,01,01099,01150,45.9,5.25,1400
30,Marchamp,marchamp,01,01233,01680,45.7833,5.55,100
31,Culoz,culoz,01,01138,01350,45.85,5.78333,2900
32,Mantenay-Montlin,mantenay-montlin,01,01230,01560,46.4167,5.08333,300
33,Marboz,marboz,01,01232,01851,46.3333,5.25,2200
34,Foissiat,foissiat,01,01163,01340,46.3667,5.18333,1900
35,Treffort-Cuisiat,treffort-cuisiat,01,01426,01370,46.2714,5.36834,2100
36,Izieu,izieu,01,01193,01300,45.65,5.63333,200
37,Saint-Étienne-du-Bois,saint-etienne-du-bois-01,01,01350,01370,46.2833,5.28333,2400
38,Hauteville-Lompnes,hauteville-lompnes,01,01185,01110,45.9667,5.6,4200
39,Saint-Trivier-sur-Moignans,saint-trivier-sur-moignans,01,01389,01990,46.0667,4.9,1900
40,Peyriat,peyriat,01,01293,01430,46.15,5.51667,200
41,Évosges,evosges,01,01155,01230,45.9583,5.5,100
42,Poncin,poncin,01,01303,01450,46.0833,5.4,1600
43,Crans,crans-01,01,01129,01320,45.9667,5.21667,300
44,Montréal-la-Cluse,montreal-la-cluse,01,01265,01460,46.1867,5.57084,3500
45,Cleyzieu,cleyzieu,01,01107,01230,45.9,5.43333,100
46,Lompnieu,lompnieu,01,01221,01260,45.9667,5.65,100
47,Villereversure,villereversure,01,01447,01250,46.1833,5.38333,1200
48,Saint-Martin-du-Mont,saint-martin-du-mont-01,01,01374,01160,46.1,5.33333,1600
49,Saint-Genis-Pouilly,saint-genis-pouilly,01,01354,01630,46.25,6.01667,8400
50,Bolozon,bolozon,01,01051,01450,46.2,5.48333,100
51,Confrançon,confrancon,01,01115,01310,46.2667,5.06667,1100
52,Lochieu,lochieu,01,01218,01260,45.9333,5.71667,100
53,Chanoz-Châtenay,chanoz-chatenay,01,01084,01400,46.1833,5.03333,700
54,Villebois,villebois,01,01444,01150,45.85,5.43333,1100
55,Ceignes,ceignes,01,01067,01430,46.1167,5.5,300
56,Saint-Didier-sur-Chalaronne,saint-didier-sur-chalaronne,01,01348,01140,46.1667,4.81667,2700
57,Revonnas,revonnas,01,01321,01250,46.1667,5.33333,700
58,Bourg-Saint-Christophe,bourg-saint-christophe,01,01054,01800,45.8833,5.16667,1100
59,Condeissiat,condeissiat,01,01113,01400,46.1667,5.08333,700
60,Pirajoux,pirajoux,01,01296,01270,46.3833,5.3,300
61,Chalamont,chalamont,01,01074,01320,46.0,5.16667,2200
62,Le Plantay,plantay,01,01299,01330,46.0167,5.08333,500
63,Versailleux,versailleux,01,01434,01330,45.9833,5.1,300
